Company Name,Location,Job Title
Telstra,"Perth, Western Australia, Australia",SAP Security Specialist – SAP Solution Centre
Deloitte,"Perth, Western Australia, Australia",Client Manager
South32,"Perth, Western Australia, Australia",Lead Business Integrity Response  (IT)
General Motors,"Melbourne, Australia","Senior HR Manager, Organisation Capability Manager"
Ericsson,"Melbourne, Australia",SAP Change manager
Ericsson,"Melbourne, Australia",Senior Human Resources Associate
Dematic,"Sydney, Australia",Controls Engineer
Jaycar Electronics,"Sydney, Australia",Sales Assistant
Reece Group,"Perth, Australia",Graduate
MANNING CARTELL,"Perth, Australia",Sales Assistant
Choice Home Loans,"Perth, Australia",Personal Assistant
Forever New Clothing,"Perth, Australia",Sales Assistant
Cue Clothing Co.,"Perth, Australia",Sales Assistant
MICHAELS CHEMIST LIMITED,"Perth, Australia",Sales Assistant
Mitsubishi Australia Limited,"Perth, Australia",Trade Coordinator
Australasian Medical & Scientific Limited,"Sydney, Australia",National Sales - Medical Division
Australasian Medical & Scientific Limited,"Sydney, Australia",Corporate Development Executive - Strategy
WaliaJones,"Sydney, Australia",Director and Co-founder
BIG W,"Melbourne, Australia",Customer Service Supervisor/ Customer Champion
Rayab Consulting Engineers,"Melbourne, Australia",Hydrologist/ Assistant Hydrologist and GIS Analyst
Deloitte Australia,"Sydney, Australia","Principal, Actuaries & Consultants"
Actuaries Institute Australia,"Sydney, Australia",Convener of the Climate Change Working Group
Taylor Fry,"Sydney, Australia",Consulting Actuary
Actuaries Institute Australia,"Sydney, Australia","Chief Editor, Actuaries.Digital Magazine"
Suncorp Group,"Sydney, Australia",Actuarial Advisor
PwC,"Sydney, Australia",Principal Actuarial Consultant
QBE Insurance,"Sydney, Australia",Head of ESG Risk
Porsche,"Melbourne, Australia",General Counsel
ANZ,"Melbourne, Australia",Senior Lawyer
Mercedes-Benz Australia,"Melbourne, Australia",Corporate Counsel
Victorian Bar,"Melbourne, Australia",Barrister
Corrs Chambers Westgarth,"Melbourne, Australia",Solicitor
PwC,"Melbourne, Australia",Accountant
Mintcode,"Sydney, Australia",General Manager
Wesfarmers Industrial and Safety,"Sydney, Australia",Senior Pricing Analyst
PPG Industrial Coatings,"Sydney, Australia",Pricing Manager - Project 
Woolworths Group,"Sydney, Australia",Pricing Analyst
Wesfarmers Industrial and Safety,"Sydney, Australia",Pricing Analyst
Lion,"Sydney, Australia",Business Analyst
EY,"Melbourne, Australia",Partner
Hewlett Packard Enterprise,"Melbourne, Victoria, Australia",Sales Enablement Project Manager 
Harris Scarfe Australia Pty Ltd,"Melbourne, Victoria, Australia",Sales Assistant
Harris Scarfe Australia Pty Ltd,"Melbourne, Victoria, Australia",Retail Marketing Work Experience
Monash University,"Melbourne, Victoria, Australia",Marketing and Events Coordinator Intern
Waldo Marketing,"Melbourne, Victoria, Australia",Digital Marketing Consultant Intern
AIESEC Monash,"Melbourne, Victoria, Australia",Marketing and Communications Outgoing Global Internship Program Team member
Monash University,"Melbourne, Victoria, Australia",Secretary
McDonald's,"Melbourne, Victoria, Australia",Crew Member
Hewlett Packard Enterprise,"Melbourne, Victoria, Australia",Sales Segment Manager
St John Ambulance (Vic),"Melbourne, Australia",Critical Care Registered Nurse
Softlink,"Brisbane, Australia",Business Systems Manager
Softlink,"Brisbane, Australia",Manager - Data Services
hipages,"Sydney Area, Australia",Engineering Manager
hipages,"Sydney Area, Australia",Software Engineer
Cascade Strategy,"Sydney Area, Australia",Lead Developer
LCR Film Sound Pty Ltd.,"Brisbane, Australia",Sound Editor
QUT (Queensland University of Technology),"Brisbane, Australia",Lecturer/Tutor
AECOM,"Adelaide, Australia",Graduate Civil Engineer
Jacobs,"Adelaide, Australia",Undergraduate Civil Engineer
CHARLESWORTH NUTS PTY. LTD.,"Adelaide, Australia",Casual Sales Assistant
TMK Consulting Engineers,"Adelaide, Australia",Work Experience Student
City of Adelaide,"Adelaide, Australia",Work Experience Student
Diocese of Parramatta,"Parramatta, New South Wales, Australia","Director, Clergy Health and Wellbeing"
HammondCare,"Parramatta, New South Wales, Australia",Manager of Allied Health
Medibank,"Perth, Australia",General Manager Group Corporate Services (Chief Procurement Officer)
CPA Australia,"Perth, Australia",Head of Procurement & Services
Vicinity Centres,"Perth, Australia",General Manager - Energy & Commercial Management
ASIC,"Perth, Australia",Special Counsel
Clayton Utz,"Perth, Australia","Solicitor, Senior Associate"
Altis Consulting,"Sydney, Australia",BI/DW Consultant
BizCubed,"Sydney, Australia",BI Consultant
SMS Management & Technology,"Melbourne, Australia",Victorian Design Principal - CX and UX specialist
SMS Management & Technology,"Melbourne, Australia",Experience Designer
P&O Cruises,"Melbourne, Australia",Training Consultant
Telstra,"Melbourne, Australia",Technologist / UI designer
Telstra,"Melbourne, Australia",Research technologist
Sqware Peg,"Melbourne, Australia","Principal consultant, Human Centred Design"
HCL Technologies,"Melbourne, Australia",Senior Program Manager
National Australia Bank,"Melbourne Area, Australia",Change Consultant
National Australia Bank,"Melbourne Area, Australia",Implementation Lead
National Australia Bank,"Melbourne Area, Australia",Direct Operations and technology Lead
National Australia Bank,"Melbourne Area, Australia",Document Support Team People Leader
National Australia Bank,"Melbourne Area, Australia",Settlement Booking Line Team Leader
National Australia Bank,"Melbourne Area, Australia",Mortgage Servicing Team Leader
MYER,"Melbourne Area, Australia",Sales Consultant/ fashion consultant
Business Analysts Pty Ltd,"Brisbane, Australia",Consultant
Coles,"Brisbane, Australia",Team member
Griffith University,"Brisbane, Australia",Student
Mission Australia,"New South Wales, Australia",Caseworker
Interrelate,"New South Wales, Australia",Children Contact Support Worker
Point8 Pty Ltd,"Brisbane, Australia",Director
Cardno,"Brisbane, Australia",Senior Traffic Engineer
"Kittelson & Associates, Inc.","Brisbane, Australia",Traffic Engineer
Centuria Capital Limited,"Sydney Area, Australia",Administration Manager
Centuria Capital Limited,"Sydney Area, Australia",Corporate Receptionist
Gordon Executive Centre,"Sydney Area, Australia",Customer Service Representative & Corporate Receptionist
Gucci,"Sydney Area, Australia",Sales Associate
Country Road Group,"Sydney Area, Australia",Sales Assistant
nbn™ Australia,"Melbourne, Australia",Project Manager
MYER,"Melbourne, Australia",Project administration manager
MYER,"Melbourne, Australia",Project Business Analyst
MYER,"Melbourne, Australia",Project Administration Manager
MYER,"Melbourne, Australia",Enablement Project Officer
MYER,"Melbourne, Australia",Project Coordinator
MYER,"Melbourne, Australia",Graduate
MYER,"Melbourne, Australia",Team Leader
Incitec Pivot Limited,"Brisbane, Australia",Analytics Manager
Aurizon,"Brisbane, Australia",Procurement Content Manager
Aurizon,"Brisbane, Australia",Implementation Manager
Aurizon,"Brisbane, Australia",Relationship Management Analyst
Aurizon,"Brisbane, Australia",Sourcing Specialist
Queensland Rail,"Brisbane, Australia",Contract Administrator
SunWater,"Brisbane, Australia",Administration Assistant
Incitec Pivot Limited,"Brisbane, Australia",Purchasing Manager
Telstra,"Clear Island Waters, Queensland, Australia",Telstra Buisness Account Manager
Australian Government Department of Human Services,"Clear Island Waters, Queensland, Australia",Families
Bond University,"Clear Island Waters, Queensland, Australia",Master of International Relations
Telstra,"Clear Island Waters, Queensland, Australia",Advanced Business Specialist
Promim Australia,"Clear Island Waters, Queensland, Australia",ICT Specalist
Griffith University,"Clear Island Waters, Queensland, Australia",Guest Lecturer
Griffith University,"Clear Island Waters, Queensland, Australia",Guest Lecturer
Griffith University,"Clear Island Waters, Queensland, Australia",Guest Lecturer
English Unlimited,"Brisbane, Australia",Business English Teacher/Syllabus Creator
Waseda University,"Brisbane, Australia",English Teacher
International Education Services (IES),"Brisbane, Australia",English Language Educator
QUT (Queensland University of Technology),"Brisbane, Australia",Research Assistant
Teach For Australia,"Horsham, Victoria, Australia",Associate
The Centre for Independent Studies,"Horsham, Victoria, Australia",Policy Analyst
Brand + Slater Architects,"Brisbane, Australia",Interior Designer
Ellivo Architects,"Brisbane, Australia",Graduate Interior Designer
IR,"Brisbane, Australia",Senior Visual Communications Designer/Graphic & Web Designer
Design Institute of Australia,"Brisbane, Australia",Councillor
McCulloch & McCulloch,"Melbourne, Australia",Co-Director
"State Library Victoria, Melbourne, Australia","Melbourne, Australia",Creative Fellowship
m3property ,"Brisbane, Australia",State Managing Director
LMW,"Brisbane, Australia",Managing State Director
Conjoint.ly,"Sydney, Australia",Founder
Bain & Company,"Sydney, Australia",Consultant
The Australian National University,"Sydney, Australia",Tutor and Research Assistant
National Farmers'​ Federation,"Sydney, Australia",Intern
PACK & SEND Australia,"Sydney, Australia",Techincal Services / Software Development Manager
Deloitte Digital,"Brisbane, Australia",User Experience Designer (Consultant)
Deloitte Digital,"Brisbane, Australia",User Experience Designer (Analyst)
Griffith University,"Brisbane, Australia",Digital Technologies Sessional Tutor/Lecturer
Creata,"Brisbane, Australia",Designer
Deloitte Digital Australia,"Brisbane, Australia",User Experience Designer (Senior Consultant)
Fujitsu Australia Limited,"Melbourne, Australia",Costing and Delivery Manager
Fujitsu Australia Limited,"Melbourne, Australia",Desktop Program Manager
Fujitsu Australia Limited,"Melbourne, Australia",Desktop Delivery Manager (Qantas)
Fujitsu Australia Limited,"Melbourne, Australia",Desktop Coordinator
Hewlett Packard Enterprise,"Melbourne, Australia",Account Manager
Hewlett Packard Enterprise,"Melbourne, Australia",Senior Desktop Support Analyst
BRP Asia Pacific,"Sydney, Australia",Customer Relations Supervisor
EBSCO Information Services,"Sydney, Australia",Customer Service Manager
EBSCO Information Services,"Sydney, Australia",Customer Service Team Leader
EBSCO Information Services,"Sydney, Australia",Inside Sales Representative
EBSCO Information Services,"Sydney, Australia",Customer Service Representative/ Online Specialist
Woolworths Group,"Sydney, Australia",Cashier/Customer Service Supervisor
Chemist Warehouse,"Springvale, New South Wales, Australia",Pharmacy Assistant/Dispensary Technician
"Prince of Wales Hospital, Sydney","Springvale, New South Wales, Australia",Student Radiographer
Chemist Warehouse,"Springvale, New South Wales, Australia",Pharmacy Assistant
Telstra,"Melbourne Area, Australia",Senior Project Planner
IBM,"Melbourne Area, Australia",Project Manager - RACV Software Currency Program
IBM,"Melbourne Area, Australia",Project Manager
Tandem,"Melbourne Area, Australia",Manager TP Products
Tandem,"Melbourne Area, Australia",Development Manager
Lloyd Group,"Melbourne, Australia",Project Manager
Rothelowman,"Melbourne, Australia",Project Coordinator
Benoy,"Melbourne, Australia",Project Coordinator
Cushman & Wakefield - Formerly DTZ,"Perth, Australia",Project Manager
APP Corporation Pty Ltd,"Perth, Australia",Assistant Project Manager
GHD,"Perth, Australia",Project Manager
GHD,"Perth, Australia",Geotechnical Engineer
Cardno,"Perth, Australia",Graduate Structural Engineer
Esprit,"Perth, Australia",Sales Assistant
Nao Japanese Restaurant,"Perth, Australia",Waitress
Jaws Kaiten Sushi,"Perth, Australia",Waitress
Parkview Group (Australia) Pty Ltd,"Sydney, Australia",Contracts Administrator
Parkview Group (Australia) Pty Ltd,"Sydney, Australia",Junior Contracts Administrator
Parkview Group (Australia) Pty Ltd,"Sydney, Australia",Cadet
Calida Projects,"Sydney, Australia",Cadet
Penrith City Council,"Sydney, Australia",Trainee Environmental Health and Building Surveyor
Parkview Group (Australia) Pty Ltd,"Sydney, Australia",Senior Contracts Administrator
Woolworths Supermarkets,"Sydney, Australia",Assistant Brand Manager
Triple 888 Studios,"Sydney, Australia",Account Manager
Triple 888 Studios,"Sydney, Australia",Graphic Designer
Rushfaster.com.au,"Sydney, Australia",Photographer
breakthru,"Sydney, Australia",Marketing Manager
Australian Army,"Enoggera, Queensland, Australia","General Service Officer - Leadership, Maintenance Management, Engineering & Logistics"
UNSW Canberra,"Enoggera, Queensland, Australia",Student
McWilliam's Wines,"Enoggera, Queensland, Australia",Maintenance Fitter
Bosch,"Melbourne, Australia",Student Engineer
University of Melbourne,"Melbourne, Australia",Student Services Representative
EML (Employers Mutual Limited),"Melbourne, Victoria, Australia",Human Resources
Modis Australia (formerly Ajilon),"Helensvale, Queensland, Australia",Business Intelligence Project Manager
RACQ,"Helensvale, Queensland, Australia",Consultant - Data Warehouse and Data Migration Lead
RACQ,"Helensvale, Queensland, Australia",Consultant - PG100 Transformation Programme
Suncorp Group,"Helensvale, Queensland, Australia",Consultant - Claims Building Blocks Project
UBS,"Helensvale, Queensland, Australia","Consultant - Fixed Income, Currency & Commodites Structured Products"
Macquarie Group,"Helensvale, Queensland, Australia",Consultant - Macquarie Relation Business and Macquarie Card Services
Bupa,"Helensvale, Queensland, Australia",Consultant - Web and Content Management
BT,"Helensvale, Queensland, Australia",Consultant - SPINE Program (NpFIT - NHS)
Halifax,"Helensvale, Queensland, Australia",Consultant - PTP Project
Littlewoods Shop Direct Group,"Helensvale, Queensland, Australia",Consultant - BOP Project
Queensland Health,"Helensvale, Queensland, Australia",Consultant - Papsmear and BreatScreen Registers
Puma Energy,"Helensvale, Queensland, Australia",Consultant
Suncorp Group,"Helensvale, Queensland, Australia",Project Manager
Apex Lighting Pty Ltd,"Sydney, Australia",Application Manager / Co-owner
Gerard Lighting Pty Ltd,"Sydney, Australia",Application Manager - Road & Infrastructure
Gerard Lighting Pty Ltd,"Sydney, Australia",National Design and Application Manager
Pierlite Australia Pty. Ltd.,"Sydney, Australia",Application Engineering Manager
Philips,"Sydney, Australia","Lighting Design and Engineering Manager, AUS"
Philips,"Sydney, Australia","Senior Lighting Design Engineer, UK"
PLANETSHAKERS MINISTRIES INTERNATIONAL INC,"Melbourne, Australia",College Intern
King & Wood Mallesons,"Melbourne, Australia",Working Capital Administrator
IFGF GISI,"Melbourne, Australia",Accountant
ANSTO,"Lucas Heights, New South Wales, Australia",Instrument Scientist
Open University Business School (OUBS),"Lucas Heights, New South Wales, Australia",Visiting Research Fellow
Australian NDT Services Pty Ltd.,"Lucas Heights, New South Wales, Australia",Research Engineer
UNSW,"Lucas Heights, New South Wales, Australia",Visiting Research Fellow 
Three Sixty° Property Group,"Melbourne, Australia",Director
Three Sixty° Property Group,"Melbourne, Australia",Sales Executive
Jellis Craig,"Melbourne, Australia",Sales Consultant
South Western Sydney Local Health District,"Sydney, Australia",Occupational Therapist
Maurice Blackburn Lawyers,"Sydney, Australia","Principal lawyer, leading Australian Volkswagen diesel emissions class actions"
Hillsong Church,"Sydney, Australia",Manager - International Operations
Pigott Stinson Lawyers,"Sydney, Australia",Associate
Youth Law Australia,"Sydney, Australia",Research Assistant
TurksLegal,"Sydney, Australia",Litigation Paralegal
ThoughtWorks,"Sydney Area, Australia",Principal Consultant
DX Solutions,"Sydney Area, Australia",Test Director
nbn™ Australia,"Sydney Area, Australia",Test Automation Manager
Macquarie Group,"Sydney Area, Australia",Associate Director
Devtest International,"Sydney Area, Australia",Principal Consultant
Microsoft,"Sydney Area, Australia",Test Manager (Vendor)
AMP Capital,"Sydney Area, Australia",Test Manager
Unique World,"Sydney Area, Australia",Development Manager
QualTech International,"Sydney Area, Australia",Senior Consultant
Devtest International,"Sydney Area, Australia",Senior Consultant
Nu Solutions,"Sydney Area, Australia",Senior Consultant
ASX,"Sydney Area, Australia",Trading Systems Network Controller
Sydney Futures Exchange,"Sydney Area, Australia",Computer Operator
SmartClinics,"Sydney Area, Australia",Technical Lead
DecoNetwork,"Sydney Area, Australia",Software Architect
Wilcom International,"Sydney Area, Australia",Software Architect
MedicalDirector,"Sydney Area, Australia",Team Technical Lead
Applxbridge (Pty) Ltd,"Sydney Area, Australia",Developer Architect
Wilcom International,"Sydney Area, Australia",Web Architect
AECOM,"Sydney, Australia",Principal Engineer Transmission and Distribution
AREVA T&D,"Sydney, Australia",Lead Design Engineer
Trufab Global,"Cunderdin, Western Australia, Australia",Market Research Analyst
GoodLife Fitness,"Cunderdin, Western Australia, Australia",Fitness Advisor
Rhino Buckets & Attachments,"Cunderdin, Western Australia, Australia",Sales and Marketing Coordinator
Collins Foods Limited,"Brisbane, Queensland, Australia",Human Resources Advisor
Collins Foods Limited,"Brisbane, Queensland, Australia",People Excellence Coach
Bouygues Construction Australia,"Sydney, Australia",Geotechnical Engineer
Egis,"Sydney, Australia",Project Engineer
Eurovia,"Sydney, Australia",Site Engineer Intern
NGE - BTP,"Sydney, Australia",Workman/Site Foreman Intern
BMD Group (BMD),"Townsville, Queensland, Australia",Project Engineer
BMD Group (BMD),"Townsville, Queensland, Australia",Project Engineer
Department of Transport and Main Roads,"Townsville, Queensland, Australia",Civil Engineer  / Project Manager - Nothern District (Townsville)
Department of Transport and Main Roads,"Townsville, Queensland, Australia",Civil Engineer - Moreton Bay Rail Project
Department of Transport and Main Roads,"Townsville, Queensland, Australia",Civil Engineer - Cardwell Range Alliance (Abigroup / SMEC / TMR)
Department of Transport and Main Roads,"Townsville, Queensland, Australia",Civil Engineer / Project Manager - NDRRA Reconstruction Projects
Department of Transport and Main Roads,"Townsville, Queensland, Australia",Project Engineer
Department of Transport and Main Roads,"Townsville, Queensland, Australia",Civil Engineer
Department of Transport and Main Roads,"Townsville, Queensland, Australia",Project Manager - RoadTek Asset Services North-Western
Department of Transport and Main Roads,"Townsville, Queensland, Australia",Engineer / Acting Senior Engineer / Project Manager - Infrastructure Delivery
SAS . Sydney Architecture Studio,"Sydney, Australia",Partner
University of Sydney,"Sydney, Australia",Adjunct Professor
Council on Tall Buildings and Urban Habitat,"Sydney, Australia",Member Board of Directors (Australia)
HASSELL,"Sydney, Australia",Principal
Council on Tall Buildings and Urban Habitat,"Sydney, Australia",Founding Chair NSW Committee
RENZO PIANO BUILDING WORKSHOP,"Sydney, Australia",Architect
Pure Insights,"Sydney, Australia",Wellness Director
New Horizons,"Sydney, Australia",Community Support Worker
Drug ARM Australasia,"Sydney, Australia",Counsellor
Baker Heart and Diabetes Institute,"Melbourne, Victoria, Australia",Commercialisation Manager
Monash University,"Melbourne, Victoria, Australia",Adjunct Lecturer
Brandon Capital Partners,"Melbourne, Victoria, Australia",Intern
INSERM UMRS1138,"Melbourne, Victoria, Australia",PhD student
Pradem: Accountants and Business Advisors,"Melbourne, Australia",Director
Maroondah City Council,"Melbourne, Australia","Member, Audit Advisory Committee"
EY,"Melbourne, Australia",Tax Manager
FDC_Group - FDC Construction & Fitout,"Sydney, Australia",Commercial Manager
FDC_Group - FDC Construction & Fitout,"Sydney, Australia",Project Manager
FDC_Group - FDC Construction & Fitout,"Sydney, Australia",Project Engineer
FDC_Group - FDC Construction & Fitout,"Sydney, Australia",Contracts Administrator
FDC_Group - FDC Construction & Fitout,"Sydney, Australia",Jnr Site Engineer
University Network for Investing & Trading (UNIT),"Melbourne, Australia",Monash President
"Department of Environment, Land, Water and Planning","Melbourne, Australia",Finance and Planning Intern
Impetus Consulting Group,"Melbourne, Australia",Project Consultant
Kollins Pty Ltd,"Melbourne, Australia",Project Manager
Australasian Association of Convenience Stores,"Glenhaven, New South Wales, Australia",Director
Mrs Mac's Pty Ltd,"Glenhaven, New South Wales, Australia",General Manager - Sales and Marketing
PepsiCo,"Glenhaven, New South Wales, Australia",Senior Sales Director - Traditional Trade
PepsiCo,"Glenhaven, New South Wales, Australia",Sales Director - Traditional Trade & Export
PepsiCo,"Glenhaven, New South Wales, Australia",General Manager - Field Sales
PepsiCo,"Glenhaven, New South Wales, Australia",General Manager - Sales Capability
PepsiCo,"Glenhaven, New South Wales, Australia",State Sales Manager - Grocery & Impulse - NSW
PepsiCo,"Glenhaven, New South Wales, Australia",Business Unit Manager - Grocery
PepsiCo,"Glenhaven, New South Wales, Australia",State Sales Manager - Victoria & Tasmania
Warner Lambert,"Glenhaven, New South Wales, Australia",State Sales Manager - Victoria & Tasmania
L'Oréal,"Glenhaven, New South Wales, Australia",State Sales Manager -Victoria & Tasmania
L'Oréal,"Glenhaven, New South Wales, Australia",National Key Account Manager
L'Oréal,"Glenhaven, New South Wales, Australia",Territory Sales Representative
Sirromet Wines,"Brisbane, Australia",Operations Manager
sgfleet,"Sydney, Australia","Senior Solution Architect/Technical Lead - Fleet Management, Finance and Salary Packaging"
SAP,"Melbourne, Australia",Senior HR Business Partner
SAP,"Melbourne, Australia",Sales Enablement Manager
SAP,"Melbourne, Australia",HR Business Partner
SAP,"Melbourne, Australia",Contractor manager
Avanteos,"Melbourne, Australia",Recruitment Advisor (contractor)
Alexander Mann Solutions,"Melbourne, Australia",Graduate Recruiter (Contract)
NAB Wholesale Banking,"Melbourne, Australia",Graduate Recruiter (Contract)
Blue Arrow,"Melbourne, Australia",Recruitment Consultant
PMI Melbourne Chapter,"Melbourne, Victoria, Australia",Project Management Coach
Victoria University,"Melbourne, Victoria, Australia",Program Director
University of South Australia,"Melbourne, Victoria, Australia",Adjunct Research Fellow
PMI Adelaide South Australia,"Melbourne, Victoria, Australia",Communications Manager
Torrens University Australia,"Melbourne, Victoria, Australia","Course Developer, Lecturer and Online Facilitator"
University of South Australia,"Melbourne, Victoria, Australia","Course Coordinator, Supervisor and Lecturer"
University of South Australia,"Melbourne, Victoria, Australia",Research Associate
PMI Queensland,"Melbourne, Victoria, Australia",Marketing Coordinator
Al-Babtain Power & Telecommunication Co.,"Melbourne, Victoria, Australia",Planning Engineer
Open Universities Australia,"Melbourne, Victoria, Australia",Project Management online supervisor and faciltor
PMI Melbourne Chapter,"Melbourne, Victoria, Australia",Member of PMIAC2018 Organising Committe 
Capability Acquisition and Sustainment Group,"Canberra, Australia",Contracting Officer
Shand Taylor Lawyers,"Canberra, Australia",Graduate Experience
Bond University,"Canberra, Australia",Resident Fellow
Bond University,"Canberra, Australia",Administration Assistant
Bond University Student Association,"Canberra, Australia",Vice President (Education)
Cronin Litigation Lawyers,"Canberra, Australia",Intern
Australian Parliament,"Canberra, Australia",Intern
Australian Air Force Cadets,"Canberra, Australia",Cadet Warrant Officer
Acquire Learning,"Canberra, Australia",Careers Consultant
Queensland Motorways,"Canberra, Australia",Customer Service Representative
University of Technology Sydney,"Sydney, Australia","Project Officer, Performance and Improvement"
University of Technology Sydney,"Sydney, Australia","Coordinator, Faculty Services (Secondment)"
University of Technology Sydney,"Sydney, Australia",Student Centre Advisor
Karrikins Group,"Sydney, Australia",Program Coordinator
ULTIMOEXPRESS,"Sydney, Australia",Project Coordinator
"Ministry of Education, Prague, Czech Republic","Sydney, Australia",Project Manager
European Parliament,"Sydney, Australia","Trainee, Committee on Economic and Monetary Affairs (ECON)"
Karrikins Group,"Sydney, Australia",Program Coordinator
Data#3,"Brisbane, Australia",Presales Solution Architect - Application Services
Data#3,"Brisbane, Australia",Senior Solutions Engineer
Firstmac,"Brisbane, Australia",IT Systems Engineer
Aurecon,"Brisbane, Australia",Information Systems Engineer
Lighthouse Capital Pty Ltd,"Perth, Australia","Team Manager, Associate Adviser (Risk Specialist) and Senior Paraplanner"
Target Australia,"Perth, Australia",Childrenswear Co-ordinator
"Toys""R""Us","Perth, Australia",Customer Service
Association of Financial Advisers (AFA),"Perth, Australia",AFA Genxt WA Committee Member 
Monash University,"Melbourne, Victoria, Australia",Mentor Leader at Access Monash
Monash University,"Melbourne, Victoria, Australia",Mentor at Access Monash
Architeria Architects,"Melbourne, Victoria, Australia",Internship
Peddle Thorp Melbourne Pty Ltd,"Melbourne, Victoria, Australia",Work Experience
Aurecon,"Melbourne, Victoria, Australia",Facade Engineer
Accenture,"Sydney, Australia",Information Technology Consultant
AIESEC in UNSW,"Sydney, Australia",Marketing and Communications Manager
PRIOR Education,"Sydney, Australia",Mathematics Tutor
GHD,"Brisbane, Australia",Site Engineer
"MWH, now part of Stantec","Brisbane, Australia",Project Manager
"MWH, now part of Stantec","Brisbane, Australia",Site Engineer - Transport Network Reconstruction Program
AECOM,"Brisbane, Australia",Superintendent's Representative 
Rockhampton Regional Council,"Rockhampton, Australia",Assets Officer/GIS
CQgeology,"Rockhampton, Australia",Geology Assistant
Gnomic Exploration Services,"Rockhampton, Australia",Evolution Mining Cracow Geology Field Assistant
Australian Electoral Commission,"Rockhampton, Australia",Interstate Issuing Officer (2nd July 2016)
Santos Ltd,"Rockhampton, Australia",Irrigation Project Team Member
"Union College, The University of Queensland","Rockhampton, Australia",1st/2nd year Earth Science Tutor
Salmat,"Rockhampton, Australia",Advertisment Delivery
Pizza Hut,"Rockhampton, Australia",Food Prep
Mott MacDonald,"Adelaide, Australia",Senior Electrical Engineer
Aurecon,"Adelaide, Australia",Senior Electrical Engineer
Aurecon,"Adelaide, Australia",Buildings Electrical Engineer
Mott MacDonald,"Adelaide, Australia",Principal Electrical Engineer at Mott MacDonald
The Australian National University,"Canberra, Australia",Scientific Programmer
The Australian National University,"Canberra, Australia",SkyMapper Postdoctoral Fellow
The Australian National University,"Canberra, Australia",Publications Officer
The Australian National University,"Canberra, Australia",IT Officer
Australian Army,"Canberra, Australia","Officer Cadet, Australian Army Reserves"
IAG,"Sydney, Australia",Executive General Manager Shared Value
Stockland,"Sydney, Australia",National Sustainability Manager
Vodafone,"Sydney, Australia",Head of Vodafone Australia Foundation
Vodafone,"Sydney, Australia",Head of Corporate Responsibility and Health and Safety
Vodafone,"Sydney, Australia",Global Environment Manager
WSP,"Sydney, Australia",Senior Environmental Consultant
IAG,"Sydney, Australia",Executive General Manager Shared Value
La Trobe University,"Melbourne Area, Australia",Senior Workforce Analyst
La Trobe University,"Melbourne Area, Australia",Senior Workforce Analyst / (Acting) Senior Survey Coordinator
La Trobe University,"Melbourne Area, Australia",Workforce Analytics Advisor (Contract)
Telstra,"Melbourne Area, Australia",Senior Business Analyst - Strategic Workforce Planning
La Trobe University,"Melbourne Area, Australia",Workforce Analytics Advisor (Contract)
Country Fire Authority (CFA),"Melbourne Area, Australia",Workforce Planning Officer - HR Transition Project
Country Fire Authority (CFA),"Melbourne Area, Australia",Acting Manager Workforce Planning
Country Fire Authority (CFA),"Melbourne Area, Australia",Workforce Planning Officer
Monash University,"Melbourne Area, Australia","Manager, Workforce Information"
La Trobe University,"Melbourne Area, Australia",Senior Workforce Planning Officer
"Department of Treasury and Finance, Victoria","Melbourne Area, Australia",Workforce Planning Manager
"Department of Treasury and Finance, Victoria","Melbourne Area, Australia",Senior Workforce Analyst
"Department of Treasury and Finance, Victoria","Melbourne Area, Australia",HRIS Reporting Analyst
Ericsson,"Melbourne Area, Australia",Help Desk Supervisor
East Gippsland Shire Council,"Victoria, Australia",Manager - Waste
East Gippsland Shire Council,"Victoria, Australia",Acting Director Operations (various secondments)
Logan City Council,"Victoria, Australia",Waste Operations Program Leader
CQ Local Government Association,"Victoria, Australia",Coordinator Technical Services (CQ Waste Management)
Federation University Australia,"Victoria, Australia",Research Fellow (Energy Waste Streams)
East Gippsland Shire Council,"Victoria, Australia",Acting Manager Waste (2 days/wk)
Luna Tractor,"Melbourne, Australia",Strategy. Creative. Storytelling. Culture.
Blocks Global,"Melbourne, Australia",Co-founder
Square Circle Triangle,"Melbourne, Australia",Owner and Creative Director
Australian Fashion Council (AFC),"Melbourne, Australia",Steering Committee Textile & Fashion Hub SRM
FutureBrand,"Melbourne, Australia",Senior Designer
Shine Solutions Group,"Northcote South, Victoria, Australia",Junior Developer
La Trobe University,"Northcote South, Victoria, Australia",Tutor and Lab Demonstrator
A Cloud Guru,"Northcote South, Victoria, Australia",Full Stack Developer
Ord Minnett,"Adelaide Area, Australia",Head of Wealth Management
Commonwealth Bank,"Adelaide Area, Australia","Excutive Manager, Queensland"
Commonwealth Bank,"Adelaide Area, Australia","Area Manager Far North Queensland / NT, Retail Bank"
Commonwealth Bank,"Adelaide Area, Australia","Financial Planning Manager, Gold Coast"
National Australia Bank,"Sydney Area, Australia","Head of Risk Oversight, Bank Wealth Transformation"
National Australia Bank,"Sydney Area, Australia",Head of Risk - NAB Wealth Advice
National Australia Bank,"Sydney Area, Australia","Head of Risk, NAB Wealth Platforms and Mature Products and Retention"
Matrix Traffic and Transport Data,"Sydney Area, Australia",Non Executive Director
National Australia Bank,"Sydney Area, Australia","General Manager, Risk Management Services - MLC & NAB Wealth"
PwC,"Sydney Area, Australia",Director
